Order,"HSK Level-Order",Word,Pronunciation,Definition,Score
113,1-52,块,kuai4,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱",0
114,2-114,快,kuai4,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,0
115,2-115,快乐,kuai4 le4,happy; merry,0
116,1-53,来,lai2,to come; to arrive; to come round; ever since; next,0
117,1-54,老师,lao3 shi1,"teacher; CL:個|个[ge4],位[wei4]",0
118,1-55,了,le5,(modal particle intensifying preceding clause); (completed action marker),0
119,2-119,累,lei4,tired; weary; to strain; to wear out; to work hard,0
120,1-56,冷,leng3,cold,0
121,2-121,离,li2,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),0
122,1-57,里,li3,lining; interior; inside; internal; also written 裡|里 [li3],0
123,2-123,两,liang3,both; two; ounce; some; a few; tael; weight equal to 50 grams,0
124,1-58,零,ling2,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,0
125,1-59,六,liu4,six; 6,0
126,2-126,路,lu4,road; path; way; CL:條|条[tiao2],0
127,2-127,旅游,lv3 you2,trip; journey; tourism; travel; tour,0
128,1-60,妈妈,ma1 ma5,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",0
129,1-61,吗,ma5,(question tag),0
130,1-62,买,mai3,to buy; to purchase,0
131,2-131,卖,mai4,to sell; to betray; to spare no effort; to show off or flaunt,0
132,2-132,慢,man4,slow,0
133,2-133,忙,mang2,busy; hurriedly,0
134,1-63,猫,mao1,cat; CL:隻|只[zhi1],0
135,1-64,没,mei2,(negative prefix for verbs); have not; not,0
136,1-65,没关系,mei2 guan1 xi5,it doesn't matter,0
137,2-137,每,mei3,each; every,0
138,2-138,妹妹,mei4 mei5,younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[ge4],0
139,2-139,门,men2,"gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology",0
140,1-66,米饭,mi3 fan4,(cooked) rice,0
141,1-67,明天,ming2 tian1,tomorrow,0
142,1-68,名字,ming2 zi5,name (of a person or thing); CL:個|个[ge4],0
143,1-69,哪(儿),na3(r5),how; which (where?; wherever; anywhere),0
144,1-70,那(儿),na4(r5),"that; those; then (in that case); commonly pr. nei4 before a classifier, esp. in Beijing (there)",0
145,2-145,男人,nan2 ren2,a man; a male; men; CL:個|个[ge4],0
146,1-71,呢,ne5,(question particle for subjects already mentioned),0
147,1-72,能,neng2,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,0
148,1-73,你,ni3,"you (informal, as opposed to polite 您[nin2])",0
149,1-74,年,nian2,year; CL:個|个[ge4],0
150,2-150,您,nin2,"you (polite, as opposed to informal 你[ni3])",0
151,2-151,牛奶,niu2 nai3,"cow's milk; CL:瓶[ping2],杯[bei1]",0
152,1-75,女儿,nv3 er2,daughter,0
153,2-153,女人,nv3 ren2,woman,0
154,2-154,旁边,pang2 bian1,lateral; side; to the side; beside,0
155,2-155,跑步,pao3 bu4,to walk quickly; to march; to run,0
156,1-76,朋友,peng2 you5,"friend; CL:個|个[ge4],位[wei4]",0
157,2-157,便宜,pian2 yi5,small advantages; to let sb off lightly; cheap; inexpensive,0
158,2-158,票,piao4,ticket; ballot; bank note; CL:張|张[zhang1]; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect),0
159,1-77,漂亮,piao4 liang5,pretty; beautiful,0
160,1-78,苹果,ping2 guo3,"apple; CL:個|个[ge4],顆|颗[ke1]",0
161,1-79,七,qi1,seven; 7,0
162,2-162,妻子,qi1 zi5,wife; CL:個|个[ge4],0
163,2-163,起床,qi3 chuang2,to get up,0
164,2-164,千,qian1,thousand,0
165,1-80,钱,qian2,coin; money; CL:筆|笔[bi3],0
166,1-81,前面,qian2 mian4,ahead; in front; preceding; above,0
167,2-167,晴,qing2,clear; fine (weather),0
168,1-82,请,qing3,to ask; to invite; please (do sth); to treat (to a meal etc); to request,0
169,1-83,去,qu4,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,0
170,2-170,去年,qu4 nian2,last year,0
171,2-171,让,rang4,to yield; to permit; to let sb do sth; to have sb do sth,0
172,1-84,热,re4,heat; to heat up; fervent; hot (of weather); warm up,0
173,1-85,人,ren2,"man; person; people; CL:個|个[ge4],位[wei4]",0
174,1-86,认识,ren4 shi5,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,0
175,1-87,日,ri4,"sun; day; date, day of the month; abbr. for 日本|日本 Japan",0
176,1-88,三,san1,three; 3,0
177,1-89,商店,shang1 dian4,"store; shop; CL:家[jia1],個|个[ge4]",0
178,1-90,上,shang4,on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university),0
179,2-179,上班,shang4 ban1,to go to work; to be on duty; to start work; to go to the office,0
180,1-91,上午,shang4 wu3,morning; CL:個|个[ge4],0
181,1-92,少,shao3,few; little; lack,0
182,1-93,谁,shei2,who; also pronounced shui2,0
183,2-183,身体,shen1 ti3,(human) body; health; CL:個|个[ge4],0
184,1-94,什么,shen2 me5,what?; who?; something; anything,0
185,2-185,生病,sheng1 bing4,to fall ill; to sicken,0
186,2-186,生日,sheng1 ri4,birthday; CL:個|个[ge4],0
187,1-95,十,shi2,ten; 10,0
188,1-96,时候,shi2 hou5,time; length of time; moment; period,0
189,2-189,时间,shi2 jian1,time; period; CL:段[duan4],0
190,1-97,是,shi4,is; are; am; yes; to be,0
191,2-191,事情,shi4 qing2,"affair; matter; thing; business; CL:件[jian4],樁|桩[zhuang1]",0
192,2-192,手表,shou3 biao3,"wrist watch; CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]",0
193,2-193,手机,shou3 ji1,cell phone; cellular phone; mobile phone; CL:部[bu4],0
194,1-98,书,shu1,"book; letter; CL:本[ben3],冊|册[ce4],部[bu4]; see also 書經|书经 Book of History",0
195,1-99,水,shui3,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,0
196,1-100,水果,shui3 guo3,fruit; CL:個|个[ge4],0
197,1-101,睡觉,shui4 jiao4,to go to bed; to go to sleep,0
198,1-102,说话,shuo1 hua4,to speak; to say; to talk; to gossip; to tell stories; talk; word,0
199,1-103,四,si4,four; 4,0
200,2-200,送,song4,to deliver; to carry; to give (as a present); to present (with); to see off; to send,0
201,1-104,岁,sui4,classifier for years (of age); year; year (of crop harvests),0
202,2-202,所以,suo3 yi3,therefore; as a result; so,0
203,1-105,他,ta1,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another,0
204,1-106,她,ta1,she,0
205,2-205,它,ta1,it,0
206,1-107,太,tai4,highest; greatest; too (much); very; extremely,0
207,2-207,踢足球,ti1 zu2 qiu2,play soccer(football),0
208,2-208,题,ti2,"topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:個|个[ge4],道[dao4]",0
209,1-108,天气,tian1 qi4,weather,0
210,2-210,跳舞,tiao4 wu3,to dance,0
211,1-109,听,ting1,"to listen; to hear; to obey; a can (loanword from English ""tin""); classifier for canned beverages",0
212,1-110,同学,tong2 xue2,"(fellow) classmate; CL:位[wei4],個|个[ge4]",0
213,2-213,外,wai4,outside; in addition; foreign; external,0
214,2-214,完,wan2,to finish; to be over; whole; complete; entire,0
215,2-215,玩,wan2,toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to play; to have fun; to trifle with; to keep sth for entertainment,0
216,2-216,晚上,wan3 shang5,in the evening; CL:個|个[ge4],0
217,1-111,喂,wei4,"hello (interj., esp. on telephone); hey; to feed (sb or some animal)",0
218,2-218,为什么,wei4 shen2 me5,why?; for what reason?,0
219,2-219,问,wen4,to ask,0
220,2-220,问题,wen4 ti2,question; problem; issue; topic; CL:個|个[ge4],0
221,1-112,我,wo3,I; me; my,0
222,1-113,我们,wo3 men5,we; us; ourselves; our,0
223,1-114,五,wu3,five; 5,0
224,2-224,西瓜,xi1 gua1,watermelon; CL:條|条[tiao2],0
225,2-225,希望,xi1 wang4,to wish for; to desire; hope CL:個|个[ge4],0
226,2-226,洗,xi3,to wash; to bathe,0
227,1-115,喜欢,xi3 huan5,to like; to be fond of,0
228,1-116,下,xia4,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,0
229,1-117,下午,xia4 wu3,afternoon; p.m.; CL:個|个[ge4],0
230,1-118,下雨,xia4 yu3,to rain; rainy,0
231,1-119,先生,xian1 sheng5,"teacher; Mister (Mr.); husband; doctor (topolect); CL:個|个[ge4],位[wei4]",0
232,1-120,现在,xian4 zai4,now; at present; at the moment; modern; current; nowadays,0
233,1-121,想,xiang3,to think; to believe; to suppose; to wish; to want; to miss,0
234,2-234,向,xiang4,direction; orientation; to face; to turn toward; to; towards; shortly before; formerly; to side with; to be partial to; all along (previously); surname Xiang,0
235,1-122,小,xiao3,small; tiny; few; young,0
236,1-123,小姐,xiao3 jie5,"young lady; miss; CL:個|个[ge4],位[wei4]",0
237,2-237,小时,xiao3 shi2,hour; CL:個|个[ge4],0
238,2-238,笑,xiao4,laugh; smile; CL:個|个[ge4],0
239,1-124,些,xie1,some; few; several; (a measure word),0
240,1-125,写,xie3,to write,0
241,1-126,谢谢,xie4 xie5,to thank; thanks,0
242,2-242,新,xin1,new; newly; meso- (chemistry),0
243,1-127,星期,xing1 qi1,week; CL:個|个[ge4],0
244,2-244,姓,xing4,family name; surname; name; CL:個|个[ge4],0
245,2-245,休息,xiu1 xi5,rest; to rest,0
246,1-128,学生,xue2 sheng5,student; school child,0
247,1-129,学习,xue2 xi2,to learn; to study,0
248,1-130,学校,xue2 xiao4,school; CL:所[suo3],0
249,2-249,雪,xue3,"snow; snowfall; CL:場|场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean",0
250,2-250,颜色,yan2 se4,color; CL:個|个[ge4],0
251,2-251,眼睛,yan3 jing5,"eye; CL:隻|只[zhi1],雙|双[shuang1]",0
252,2-252,羊肉,yang2 rou4,mutton,0
253,2-253,药,yao4,"medicine; drug; cure; CL:種|种[zhong3],服[fu4]",0
254,2-254,要,yao1,demand; ask; request; coerce,0
255,2-255,也,ye3,also; too; (in classical Chinese) final particle serving as copula,0
256,1-131,一,yi1,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)",0
257,1-132,衣服,yi1 fu5,"clothes; CL:件[jian4],套[tao4]",0
258,1-133,医生,yi1 sheng1,"doctor; CL:個|个[ge4],位[wei4],名[ming2]",0
259,1-134,医院,yi1 yuan4,"hospital; CL:所[suo3],家[jia1],座[zuo4]",0
260,2-260,已经,yi3 jing1,already,0
261,1-135,椅子,yi3 zi5,"chair; CL:把[ba3],套[tao4]",0
262,2-262,一起,yi4 qi3,in the same place; together; with; altogether (in total),0
263,2-263,意思,yi4 si5,idea; opinion; meaning; wish; desire; CL:個|个[ge4],0
264,2-264,阴,yin1,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia,0
265,2-265,因为,yin1 wei4,because; owing to; on account of,0
266,2-266,游泳,you2 yong3,swim,0
267,1-136,有,you3,to have; there is; there are; to exist; to be,0
268,2-268,右边,you4 bian5,"right side; right, to the right",0
269,2-269,鱼,yu2,"fish; CL:條|条[tiao2],尾[wei3]",0
270,2-270,元,yuan2,Chinese monetary unit; dollar; primary; first; the Yuan or Mongol dynasty (1279-1368); surname Yuan,0
271,2-271,远,yuan3,far; distant; remote,0
272,1-137,月,yue4,"moon; month; CL:個|个[ge4],輪|轮[lun2]",0
273,2-273,运动,yun4 dong4,movement; campaign; CL: 場|场[chang3]; sports,0
274,1-138,在,zai4,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),0
275,2-275,再,zai4,"again; once more; re-; second; another; then (after sth, and not until then)",0
276,1-139,再见,zai4 jian4,goodbye; see you again later,0
277,2-277,早上,zao3 shang5,early morning; CL:個|个[ge4]; Good morning!,0
278,1-140,怎么,zen3 me5,how?; what?; why?,0
279,1-141,怎么样,zen3 me5 yang4,how?; how about?; how was it?; how are things?,0
280,2-280,张,zhang1,"to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes",0
281,2-281,丈夫,zhang4 fu5,husband; CL:個|个[ge4],0
282,2-282,找,zhao3,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,0
283,1-142,这(儿),zhe4(r5),"this; these; (here)(commonly pr. zhei4 before a classifier, esp. in Beijing)",0
284,2-284,着,zhe5,"particle attached after verb to indicate action in progress, like -ing ending",0
285,2-285,真,zhen1,really; truly; indeed; real; true; genuine,0
286,2-286,正在,zheng4 zai4,in the process of (doing something or happening); while (doing),0
287,2-287,知道,zhi1 dao5,to know; to be aware of,0
288,1-143,中国,Zhong1 guo2,China; Middle Kingdom,0
289,1-144,中午,zhong1 wu3,noon; midday; CL:個|个[ge4],0
290,1-145,住,zhu4,to live; to dwell; to stay; to reside; to stop,0
291,2-291,准备,zhun3 bei4,preparation; prepare,0
292,1-146,桌子,zhuo1 zi5,"table; desk; CL:張|张[zhang1],套[tao4]",0
293,1-147,字,zi4,letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China,0
294,2-294,自行车,zi4 xing2 che1,bicycle; bike; CL:輛|辆[liang4],0
295,2-295,走,zou3,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走); to change (shape, form, meaning)",0
296,2-296,最,zui4,most; the most; -est,0
297,1-148,昨天,zuo2 tian1,yesterday,0
298,2-298,左边,zuo3 bian5,left; the left side; to the left of,0
299,1-149,坐,zuo4,"to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; surname Zuo",0
300,1-150,做,zuo4,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,0

