Order,"HSK Level-Order",Word,Pronunciation,Definition,Score
1,1-1,爱,ai4,to love; affection; to be fond of; to like,0
2,1-2,八,ba1,eight; 8,0
3,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",0
4,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,0
5,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,0
6,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,0
7,2-7,帮助,bang1 zhu4,assistance; aid; to help; to assist,0
8,2-8,报纸,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",0
9,1-4,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",0
10,1-5,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",0
11,1-6,本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",0
12,2-12,比,bi3,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",0
13,2-13,别,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,0
14,1-7,不客气,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,0
15,1-8,不,bu4,(negative prefix); not; no,0
16,1-9,菜,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",0
17,1-10,茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",0
18,2-18,长,chang2,length; long; forever; always; constantly,0
19,2-19,唱歌,chang4 ge1,to sing a song,0
20,1-11,吃,chi1,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,0
21,2-21,出,chu1,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",0
22,1-12,出租车,chu1 zu1 che1,taxi,0
23,2-23,穿,chuan1,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,0
24,2-24,船,chuan2,"a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",0
25,2-25,次,ci4,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",0
26,2-26,从,cong2,"from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zong4 and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong",0
27,2-27,错,cuo4,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[ge4],0
28,1-13,打电话,da3 dian4 hua4,to make a telephone call,0
29,2-29,打篮球,da3 lan2 qiu2,play basketball,0
30,1-14,大,da4,big; huge; large; major; great; wide; deep; oldest; eldest,0
31,2-31,大家,da4 jia1,authority; everyone,0
32,2-32,但是,dan4 shi4,but; however,0
33,2-33,到,dao4,to (a place); until (a time); up to; to go; to arrive,0
34,1-15,的,de5,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",0
35,2-35,得,de5,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",0
36,2-36,等,deng3,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,0
37,2-37,弟弟,di4 di5,"younger brother; CL:個|个[ge4],位[wei4]",0
38,2-38,第一,di4 yi1,first; number one,0
39,1-16,点,dian3,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,0
40,1-17,电脑,dian4 nao3,computer; CL:臺|台[tai2],0
41,1-18,电视,dian4 shi4,"television; TV; CL:臺|台[tai2],個|个[ge4]",0
42,1-19,电影,dian4 ying3,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",0
43,1-20,东西,dong1 xi5,"thing; stuff; person; CL:個|个[ge4],件[jian4]",0
44,2-44,懂,dong3,to understand; to know,0
45,1-21,都,dou1,"all, both; entirely (due to) each; even; already",0
46,1-22,读,du2,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",0
47,2-47,对,dui4,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,0
48,1-23,对不起,dui4 bu5 qi3,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),0
49,1-24,多,duo1,many; much; a lot of; numerous; multi-,0
50,1-25,多少,duo1 shao3,number; amount; somewhat,0
51,1-26,儿子,er2 zi5,son,0
52,1-27,二,er4,two; 2; stupid (Beijing dialect),0
53,1-28,饭馆,fan4 guan3,restaurant; CL:家[jia1],0
54,2-54,房间,fang2 jian1,room; CL:間|间[jian1],0
55,2-55,非常,fei1 chang2,unusual; extraordinary; extreme; very; exceptional,0
56,1-29,飞机,fei1 ji1,airplane; CL: 架[jia4],0
57,1-30,分钟,fen1 zhong1,minute,0
58,2-58,服务员,fu2 wu4 yuan2,waiter; waitress; attendant; customer service personnel; CL:個|个[ge4],0
59,2-59,高,gao1,high; tall; above average; loud; your (honorific); surname Gao,0
60,1-31,高兴,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood,0
61,2-61,告诉,gao4 su5,to tell; to inform; to let know,0
62,2-62,哥哥,ge1 ge5,"older brother; CL:個|个[ge4],位[wei4]",0
63,1-32,个,ge4,individual; this; that; size; classifier for people or objects in general,0
64,2-64,给,gei3,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),0
65,2-65,公共汽车,gong1 gong4 qi4 che1,"bus; CL:輛|辆[liang4],班[ban1]",0
66,2-66,公斤,gong1 jin1,kilogram (kg),0
67,2-67,公司,gong1 si1,(business) company; company; firm; corporation; incorporated; CL:家[jia1],0
68,1-33,工作,gong1 zuo4,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",0
69,1-34,狗,gou3,"dog; CL:隻|只[zhi1],條|条[tiao2]",0
70,2-70,贵,gui4,expensive; noble; your (name); precious,0
71,2-71,过,guo4,(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo,0
72,2-72,还,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,0
73,2-73,孩子,hai2 zi5,child,0
74,1-35,汉语,Han4 yu3,Chinese language; CL:門|门[men2],0
75,1-36,好,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),0
76,2-76,好吃,hao3 chi1,tasty; delicious,0
77,2-77,号,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number,0
78,1-37,喝,he1,to drink; to shout (a command); My goodness!,0
79,1-38,和,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4,0
80,2-80,黑,hei1,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,0
81,1-39,很,hen3,(adverb of degree); quite; very; awfully,0
82,2-82,红,hong2,bonus; popular; red; revolutionary,0
83,1-40,后面,hou4 mian5,rear; back; behind; later; afterwards,0
84,2-84,欢迎,huan1 ying2,to welcome; welcome,0
85,1-41,回,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),0
86,2-86,回答,hui2 da2,to reply; to answer; the answer; CL:個|个[ge4],0
87,1-42,会,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3),0
88,1-43,火车站,huo3 che1 zhan4,train station,0
89,2-89,机场,ji1 chang3,"airport; airfield; CL:家[jia1],處|处[chu4]",0
90,2-90,鸡蛋,ji1 dan4,"(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]",0
91,1-44,几,ji3,how much; how many; several; a few,0
92,1-45,家,jia1,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]",0
93,2-93,件,jian4,"item; component; classifier for events, things, clothes etc",0
94,1-46,叫,jiao4,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),0
95,2-95,教室,jiao4 shi4,classroom; CL:間|间[jian1],0
96,2-96,姐姐,jie3 jie5,older sister; CL:個|个[ge4],0
97,2-97,介绍,jie4 shao4,to present; to introduce; to recommend; to suggest; to let know; to brief,0
98,1-47,今天,jin1 tian1,today; at the present; now,0
99,2-99,进,jin4,"to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",0
100,2-100,近,jin4,near; close to; approximately,0
101,1-48,九,jiu3,nine; 9,0
102,2-102,就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,0
103,2-103,觉得,jue2 de5,to think; to feel,0
104,2-104,咖啡,ka1 fei1,coffee; CL:杯[bei1],0
105,1-49,开,kai1,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,0
106,2-106,开始,kai1 shi3,to begin; beginning; to start; initial; CL:個|个[ge4],0
107,1-50,看,kan1,to look after; to take care of; to watch; to guard,0
108,1-51,看见,kan4 jian4,to see; to catch sight of,0
109,2-109,考试,kao3 shi4,exam; CL:次[ci4],0
110,2-110,可能,ke3 neng2,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4],0
111,2-111,可以,ke3 yi3,can; may; possible; able to,0
112,2-112,课,ke4,"subject; course; class; lesson; CL:堂[tang2],节|節[jie2],門|门[men2]",0
